OrderID,CustomerID,OrderDate,OrderAmount,ProductCategory
92,880,2024-07-13,4457.65,Electronics
93,571,2023-11-11,2942.92,Electronics
94,673,2024-06-05,5274.93,Grocery
95,965,2024-03-30,9447.97,Grocery
96,183,2023-03-27,3699.31,Furniture
97,469,2024-02-02,1843.86,Grocery
98,297,2023-06-24,9096.75,Electronics
99,219,2024-04-06,1425.05,Furniture
100,297,2024-03-01,2493.3,Electronics
101,563,2023-01-28,2721.73,Books
102,333,2023-05-02,1856.28,Clothing
103,131,2023-03-12,8664.52,Furniture
104,157,2024-04-09,8998.39,Books
105,917,2023-08-23,9397.56,Grocery
106,337,2023-11-23,1707.11,Clothing
107,589,2023-04-02,8592.84,Furniture
108,419,2024-03-19,1049.1,Furniture
109,45,2024-11-23,7603.72,Electronics
110,287,2024-04-10,578.74,Books
111,387,2024-06-14,6843.08,Electronics
112,592,2023-09-02,3495.99,Electronics
113,311,2024-09-08,3803.93,Books
114,985,2024-01-19,9096.17,Electronics
115,484,2023-08-12,5647.55,Electronics
116,66,2024-05-29,6160.79,Electronics
117,36,2023-01-18,9309.31,Books
118,68,2023-06-18,5493.81,Grocery
119,473,2024-11-27,8142.12,Clothing
120,946,2023-03-06,6301.06,Books
121,331,2023-07-08,8423.93,Books
122,414,2023-03-18,3921.69,Furniture
123,365,2024-12-28,1914.88,Electronics
124,776,2024-08-18,149.54,Books
125,838,2024-03-19,8568.02,Books
126,935,2024-05-30,9500.05,Grocery
127,39,2024-09-22,6157.81,Books
128,917,2023-01-26,9130.17,Furniture
129,921,2023-05-17,8614.93,Clothing
130,592,2024-10-20,6520.41,Books
131,42,2023-02-20,2550.39,Electronics
132,608,2024-12-17,8947.53,Grocery
133,30,2023-10-07,6009.69,Clothing
134,385,2023-05-16,8959.07,Electronics
135,16,2024-10-14,9396.63,Grocery
136,553,2023-08-13,8548.48,Furniture
137,370,2023-03-22,9822.06,Grocery
138,938,2024-05-25,1580.03,Clothing
139,932,2024-02-23,930.69,Electronics
140,76,2024-09-25,5035.55,Electronics
141,608,2023-03-14,6652.17,Furniture
142,810,2024-09-29,9416.11,Electronics
143,146,2024-12-05,5818.06,Grocery
144,903,2023-12-17,7580.13,Clothing
145,219,2023-07-22,8007.77,Books
146,577,2024-05-04,7238.68,Books
147,321,2023-07-03,5169.61,Clothing
148,887,2024-12-01,651.66,Electronics
149,288,2023-11-21,7319.19,Furniture
150,530,2023-06-04,6378.07,Grocery
151,919,2024-01-02,6086.34,Electronics
152,326,2024-07-14,9847.62,Books
153,237,2023-07-19,1722.81,Furniture
154,254,2023-02-10,7799.6,Furniture
155,47,2023-03-24,8007.82,Furniture
156,906,2024-02-03,7572.9,Clothing
157,759,2024-02-02,3353.51,Books
158,289,2023-03-12,8433.72,Furniture
159,523,2023-05-22,1750.61,Grocery
160,262,2023-12-15,9900.36,Grocery
161,302,2023-09-21,9349.23,Grocery
162,360,2023-07-26,6659.33,Electronics
163,550,2024-12-09,504.69,Electronics
164,853,2023-09-25,7635.47,Electronics
165,247,2024-04-01,4524.27,Grocery
166,33,2024-12-28,9604.04,Books
167,967,2024-05-24,3962.03,Furniture
168,14,2023-09-08,9079.72,Books
169,44,2023-03-17,765.09,Grocery
170,334,2024-05-18,4995.81,Electronics
171,781,2024-10-07,256.07,Grocery
172,824,2023-05-01,3930.54,Furniture
173,384,2023-12-07,2173.68,Electronics
174,250,2023-05-20,3726.31,Furniture
175,836,2024-11-02,410.67,Electronics
176,801,2024-10-06,3950.06,Grocery
177,635,2023-04-25,7237.28,Grocery
178,914,2024-12-02,4302.8,Books
179,185,2024-07-17,5963.77,Clothing
180,70,2023-03-04,4337.88,Furniture
181,427,2023-09-14,6639.31,Electronics
182,338,2023-02-04,5732.78,Electronics
183,771,2024-01-06,3082.96,Electronics
184,398,2023-09-20,784.92,Clothing
185,281,2023-10-07,3418.5,Books
186,941,2023-10-06,1193.6,Grocery
187,531,2023-12-17,1823.5,Grocery
188,389,2023-11-24,5361.15,Electronics
189,125,2024-05-07,8624.86,Electronics
190,971,2023-03-11,9488.42,Grocery
191,556,2024-05-04,9375.32,Books
192,718,2024-05-02,1357.16,Furniture
193,812,2023-07-28,6102.51,Electronics
194,747,2024-03-18,8005.88,Books
195,266,2024-01-26,6853.4,Electronics
196,484,2023-07-19,3774.36,Grocery
197,226,2023-10-09,3895.53,Grocery
198,754,2024-06-19,1615.52,Electronics
199,226,2024-03-02,8264.19,Furniture
200,882,2023-06-28,780.05,Electronics
201,983,2024-03-31,9604.42,Electronics
202,57,2024-08-24,7725.78,Electronics
203,352,2024-12-19,8106.41,Furniture
204,630,2023-06-10,115.31,Furniture
205,44,2024-10-10,8975.25,Electronics
206,880,2024-01-03,8883.3,Electronics
207,725,2024-05-25,2225.5,Grocery
208,317,2024-12-29,7972.38,Books
209,382,2024-08-28,4044.75,Grocery
210,746,2023-12-27,5827.02,Clothing
211,147,2023-07-22,7382.29,Books
212,976,2024-10-25,4447.42,Books
213,833,2023-11-12,1053.09,Clothing
214,284,2024-12-13,7378.86,Clothing
215,789,2024-12-23,5213.8,Grocery
216,297,2024-06-13,1594.57,Books
217,168,2023-06-09,9107.95,Grocery
218,682,2023-05-01,3149.1,Clothing
219,720,2023-07-25,5750.31,Furniture
220,300,2023-09-15,4035.56,Grocery
221,699,2024-06-30,5697.43,Electronics
222,859,2024-04-04,8739.18,Furniture
223,780,2023-03-08,6057.9,Books
224,551,2024-04-09,5830.28,Electronics
225,18,2023-04-03,5867.45,Clothing
226,612,2023-04-25,3123.27,Electronics
227,9,2024-05-14,1563.04,Furniture
228,43,2024-08-14,7593.84,Furniture
229,56,2023-09-20,5271.06,Clothing
230,886,2023-09-17,8561.75,Books
231,437,2023-04-07,1382.55,Grocery
232,776,2024-04-20,1701.02,Clothing
233,252,2023-08-10,6977.73,Electronics
234,689,2024-03-02,9420.33,Grocery
235,809,2023-12-05,9802.93,Clothing
236,587,2023-09-13,582.01,Books
237,424,2024-12-17,6816.28,Books
238,302,2024-05-30,4672.64,Grocery
239,608,2023-07-10,2036.34,Electronics
240,250,2023-06-26,8024.11,Clothing
241,532,2023-03-16,8647.71,Clothing
242,184,2024-06-28,5767.41,Books
243,720,2024-10-17,9128.28,Electronics
244,506,2024-03-16,3211.14,Books
245,32,2024-12-27,2273.98,Grocery
246,276,2023-08-22,1289.44,Grocery
247,727,2023-07-14,540.86,Furniture
248,899,2024-01-14,7665.36,Clothing
249,355,2023-09-25,8801.46,Clothing
250,253,2024-03-31,6608.07,Books
251,608,2023-12-25,8834.94,Books
252,357,2024-10-08,5434.19,Clothing
253,376,2024-08-06,9706.99,Clothing
254,813,2023-12-11,7615.0,Electronics
255,47,2023-04-28,4049.63,Electronics
256,411,2024-10-19,7835.63,Books
257,255,2024-01-21,8259.49,Grocery
258,626,2023-08-17,9346.0,Grocery
259,328,2024-03-24,7928.08,Books
260,747,2024-10-24,5119.69,Books
261,174,2023-02-14,1492.16,Clothing
262,945,2023-03-16,8547.9,Electronics
263,23,2024-12-30,3289.11,Books
264,847,2024-06-30,7039.26,Clothing
265,590,2024-04-19,703.45,Grocery
266,182,2023-08-08,4543.95,Electronics
267,56,2023-09-10,2022.39,Books
268,539,2024-02-14,7989.38,Electronics
269,813,2024-12-08,2681.72,Books
270,788,2024-03-01,810.98,Books
271,882,2024-01-30,9217.61,Books
272,476,2023-04-28,8674.1,Clothing
273,282,2024-08-17,2711.24,Clothing
274,179,2023-01-14,2101.83,Grocery
275,888,2023-11-16,2533.49,Electronics
276,230,2023-08-24,7951.97,Grocery
277,840,2024-01-24,5183.94,Books
278,616,2024-10-01,9255.15,Books
279,29,2024-07-18,2828.08,Electronics
280,942,2024-07-09,2924.52,Clothing
281,878,2024-05-09,8624.88,Furniture
282,580,2023-06-01,9228.64,Books
283,780,2023-09-03,480.52,Grocery
284,526,2023-09-20,783.41,Books
285,724,2023-10-06,8366.87,Books
286,61,2023-08-26,5800.65,Electronics
287,21,2024-04-02,757.28,Electronics
288,543,2024-04-18,6459.31,Electronics
289,249,2024-10-25,6581.09,Books
290,4,2023-02-27,1661.14,Clothing
291,625,2024-06-26,3868.91,Grocery
292,643,2024-11-10,1658.15,Electronics
293,835,2023-11-08,5618.04,Clothing
294,569,2023-02-22,3487.31,Clothing
295,624,2023-11-12,8619.23,Furniture
296,666,2023-06-17,9542.28,Furniture
297,551,2023-07-19,1898.47,Grocery
298,973,2023-10-28,4286.06,Grocery
299,610,2024-04-15,1026.01,Grocery
300,261,2024-03-28,9372.27,Grocery
301,470,2024-05-23,1303.49,Grocery
302,453,2024-06-17,6147.27,Furniture
303,162,2024-09-28,321.26,Electronics
304,965,2024-10-24,6008.82,Electronics
305,880,2023-05-07,6567.33,Furniture
306,759,2024-06-30,8864.54,Grocery
307,73,2023-10-07,1541.11,Clothing
308,734,2023-04-27,7792.27,Furniture
309,695,2023-05-30,3097.97,Furniture
310,333,2023-11-20,9708.69,Furniture
311,951,2023-11-08,7917.9,Clothing
312,872,2024-06-06,7503.97,Grocery
313,654,2024-05-30,1349.74,Books
314,829,2023-03-21,8590.59,Clothing
315,740,2023-01-29,7283.99,Books
316,772,2023-04-14,9304.46,Books
317,78,2023-10-03,7928.41,Clothing
318,924,2023-04-25,9983.32,Electronics
319,925,2024-07-12,4393.94,Furniture
320,359,2024-07-31,9098.81,Grocery
321,555,2024-09-10,4728.98,Electronics
322,506,2024-12-30,9519.21,Books
323,137,2024-12-14,2346.05,Grocery
324,251,2023-01-26,7041.21,Furniture
325,890,2023-07-05,2872.79,Electronics
326,90,2023-02-18,7613.15,Grocery
327,13,2023-11-13,1985.85,Books
328,61,2024-04-25,6309.92,Furniture
329,958,2024-02-15,298.29,Furniture
330,516,2024-01-19,5125.07,Furniture
331,224,2023-01-24,4419.3,Clothing
332,293,2023-01-06,4156.08,Grocery
333,689,2023-06-17,5975.07,Grocery
334,503,2023-02-21,8239.58,Grocery
335,111,2023-05-25,7963.27,Clothing
336,852,2024-03-27,6670.15,Books
337,766,2024-10-11,1238.64,Electronics
338,650,2023-06-05,292.77,Grocery
339,442,2023-12-23,160.14,Clothing
340,674,2023-03-20,8015.88,Books
341,117,2023-12-29,4404.49,Books
342,999,2024-06-14,2058.57,Books
343,478,2023-05-10,590.33,Grocery
344,431,2024-04-24,1221.61,Grocery
345,595,2023-05-25,4309.31,Furniture
346,868,2023-03-26,3838.24,Grocery
347,71,2023-01-14,6214.62,Grocery
348,567,2023-09-10,2418.43,Books
349,355,2024-12-28,7606.04,Clothing
350,272,2023-02-25,4579.99,Books
351,105,2024-05-22,6070.07,Electronics
352,973,2023-11-07,2051.8,Electronics
353,514,2024-05-09,2323.13,Books
354,507,2024-12-21,3557.83,Furniture
355,276,2024-05-20,1391.82,Clothing
356,714,2023-05-03,5655.99,Furniture
357,739,2023-02-04,2521.65,Furniture
358,532,2023-05-13,6005.82,Clothing
359,601,2024-08-22,9659.61,Clothing
360,137,2023-08-09,5884.12,Furniture
361,608,2024-01-14,6903.48,Electronics
362,458,2023-03-06,6001.31,Clothing
363,280,2024-09-25,7709.34,Books
364,314,2024-05-12,6541.59,Furniture
365,762,2024-09-19,4442.63,Furniture
366,909,2023-08-25,5241.21,Books
367,697,2024-12-26,1428.41,Grocery
368,67,2024-06-30,9571.06,Electronics
369,596,2023-06-16,3218.11,Clothing
370,28,2023-01-20,111.87,Electronics
371,238,2024-12-27,323.63,Books
372,113,2024-08-18,3098.74,Furniture
373,300,2023-08-31,7575.5,Clothing
374,391,2023-05-09,5853.37,Clothing
375,921,2024-03-08,8516.37,Books
376,742,2024-04-29,6558.7,Books
377,769,2023-03-02,8913.19,Books
378,728,2023-06-10,9235.41,Books
379,258,2024-10-11,7400.9,Clothing
380,65,2023-08-19,2498.53,Furniture
381,897,2024-10-12,7905.61,Books
382,548,2024-06-02,5565.64,Books
383,448,2024-10-19,110.35,Electronics
384,923,2023-11-08,7212.81,Books
385,423,2023-04-08,6829.03,Grocery
386,716,2024-06-24,9500.44,Furniture
387,424,2024-07-16,3496.15,Books
388,191,2023-12-10,1077.8,Electronics
389,746,2023-02-20,8415.29,Clothing
390,845,2024-06-03,2493.38,Grocery
391,723,2024-03-18,5987.27,Furniture
392,941,2023-11-10,7850.31,Furniture
393,477,2023-06-09,2734.52,Books
394,212,2024-06-16,1429.16,Grocery
395,191,2024-02-21,7209.7,Furniture
396,96,2024-05-11,1816.36,Books
397,859,2024-06-14,3150.57,Clothing
398,693,2024-07-27,1290.9,Furniture
399,998,2024-06-11,389.81,Books
400,923,2023-06-05,1091.03,Electronics
401,819,2023-03-29,6459.53,Electronics
402,695,2024-05-24,242.2,Books
403,327,2023-11-22,7837.16,Books
404,821,2024-09-06,8239.31,Books
405,145,2024-09-01,8469.98,Books
406,466,2024-03-12,1584.22,Grocery
407,554,2024-05-23,3334.39,Furniture
408,745,2023-12-18,4223.94,Furniture
409,173,2024-03-28,4596.83,Furniture
410,300,2023-02-28,9181.71,Grocery
411,890,2024-01-20,7449.74,Grocery
412,697,2023-11-26,8962.84,Books
413,542,2024-12-15,2671.56,Books
414,175,2024-04-23,919.22,Electronics
415,419,2023-06-09,5773.09,Clothing
416,389,2024-12-31,1040.39,Books
417,942,2023-10-09,3843.84,Electronics
418,772,2023-01-26,8084.44,Electronics
419,236,2023-12-01,3054.6,Grocery
420,22,2023-10-16,1839.34,Electronics
421,405,2024-06-30,4433.08,Books
422,968,2023-07-25,6140.72,Furniture
423,504,2023-09-29,3846.85,Furniture
424,101,2023-04-01,9943.45,Electronics
425,937,2024-04-20,8760.24,Clothing
426,767,2024-04-07,1274.28,Electronics
427,490,2023-12-10,8700.71,Electronics
428,562,2023-05-04,9417.6,Books
429,137,2023-05-01,5358.39,Electronics
430,581,2023-07-08,8936.61,Books
431,816,2023-04-05,6611.03,Books
432,542,2023-12-10,8088.86,Clothing
433,781,2024-08-16,8635.66,Grocery
434,579,2024-07-18,3590.54,Books
435,726,2023-08-21,5283.2,Furniture
436,465,2024-06-28,9557.65,Grocery
437,201,2023-12-08,4228.08,Clothing
438,273,2023-04-04,6861.41,Grocery
439,173,2023-07-29,4834.48,Furniture
440,181,2024-09-03,5157.93,Grocery
441,317,2023-07-29,3091.82,Electronics
442,90,2023-03-05,4643.93,Grocery
443,623,2023-07-14,3798.97,Clothing
444,612,2024-02-18,9703.78,Clothing
445,889,2024-12-25,3336.84,Electronics
446,561,2023-04-23,4178.22,Books
447,230,2023-07-11,8084.61,Electronics
448,285,2023-10-27,128.3,Clothing
449,677,2024-09-06,544.13,Books
450,386,2023-08-16,1062.76,Furniture
451,580,2024-03-29,8783.3,Clothing
452,226,2024-09-25,8424.42,Electronics
453,484,2024-06-15,9046.13,Clothing
454,338,2023-10-09,690.12,Electronics
455,467,2024-07-02,9484.33,Books
456,756,2024-12-20,2064.97,Clothing
457,169,2023-07-21,8862.52,Furniture
458,652,2023-01-29,7724.34,Books
459,74,2023-11-12,5017.12,Grocery
460,789,2024-12-21,5507.51,Clothing
461,565,2024-08-09,9487.63,Electronics
462,580,2023-01-28,7596.44,Grocery
463,808,2023-02-03,3733.21,Grocery
464,341,2023-04-20,2050.62,Furniture
465,313,2023-04-18,5271.63,Electronics
466,142,2024-12-18,8833.71,Books
467,677,2023-01-23,7322.94,Books
468,631,2024-05-20,8090.12,Books
469,761,2023-04-13,5328.87,Grocery
470,749,2023-05-08,3408.31,Clothing
471,669,2023-02-14,5214.23,Clothing
472,734,2023-07-14,7442.68,Grocery
473,723,2024-06-03,9086.59,Electronics
474,487,2024-11-04,6630.74,Electronics
475,245,2024-07-02,9927.75,Clothing
476,46,2023-06-16,5455.35,Grocery
477,932,2023-01-12,9571.64,Books
478,377,2024-10-10,7023.26,Furniture
479,683,2023-04-04,7139.63,Electronics
480,169,2023-09-01,4778.16,Electronics
481,21,2024-02-28,1215.88,Grocery
482,731,2023-07-21,2706.23,Electronics
483,508,2023-01-29,8349.06,Clothing
484,448,2024-11-16,2701.93,Clothing
485,765,2023-02-27,6919.16,Furniture
486,969,2023-10-06,3600.73,Grocery
487,909,2023-06-24,9050.91,Grocery
488,952,2023-03-06,5380.59,Clothing
489,304,2024-04-16,2096.63,Books
490,882,2023-07-31,255.44,Grocery
491,546,2024-03-22,1570.94,Clothing
492,268,2024-03-06,9439.23,Electronics
493,86,2023-05-26,5909.41,Electronics
494,982,2023-08-18,1139.2,Electronics
495,547,2024-05-20,9751.43,Grocery
496,625,2023-01-19,3045.39,Clothing
497,486,2023-05-12,3609.25,Furniture
498,409,2023-01-20,4806.0,Grocery
499,271,2024-08-27,1324.38,Grocery
500,228,2024-07-20,7118.07,Furniture
501,42,2023-01-05,1977.89,Books
502,307,2024-06-24,589.42,Grocery
503,494,2023-05-25,4656.17,Furniture
504,2,2023-07-29,5703.69,Grocery
505,779,2024-07-16,8716.61,Electronics
506,642,2024-01-31,3045.56,Grocery
507,834,2023-12-29,1819.34,Clothing
508,855,2023-08-03,2039.41,Furniture
509,114,2024-09-30,6130.37,Furniture
510,313,2024-03-20,5093.59,Electronics
511,222,2023-08-11,3232.14,Clothing
512,937,2023-05-06,2876.85,Clothing
513,170,2023-11-25,6237.89,Grocery
514,509,2024-05-03,3440.32,Clothing
515,908,2024-03-19,3780.27,Clothing
516,419,2023-06-23,5217.43,Clothing
517,726,2024-08-24,7568.79,Books
518,300,2024-06-27,4057.95,Grocery
519,565,2023-12-10,9277.88,Clothing
520,475,2024-02-03,6902.88,Furniture
521,275,2024-11-19,8427.15,Electronics
522,845,2023-05-18,6091.64,Electronics
523,648,2024-11-26,1186.37,Grocery
524,766,2024-04-25,4323.19,Clothing
525,622,2024-05-20,9014.73,Furniture
526,906,2024-07-12,4315.76,Clothing
527,268,2023-09-27,4544.77,Furniture
528,725,2023-12-19,8808.78,Clothing
529,751,2023-07-09,7724.47,Electronics
530,609,2024-04-30,5041.49,Grocery
531,29,2024-08-06,8789.82,Grocery
532,955,2023-10-11,5012.01,Clothing
533,46,2023-08-15,8934.83,Clothing
534,459,2023-05-03,8473.27,Clothing
535,681,2023-02-10,1434.76,Electronics
536,378,2023-08-16,1501.52,Grocery
537,720,2023-02-07,2365.27,Electronics
538,590,2024-06-23,957.41,Clothing
539,30,2024-11-26,6654.05,Clothing
540,610,2023-06-16,9481.23,Furniture
541,864,2024-12-03,9633.75,Books
542,171,2023-07-06,5909.7,Books
543,49,2023-06-28,9753.91,Books
544,897,2023-02-01,8267.65,Grocery
545,613,2023-02-20,7364.42,Clothing
546,858,2024-04-25,3231.37,Books
547,101,2023-12-20,9058.58,Electronics
548,722,2023-05-10,8257.62,Electronics
549,667,2024-01-21,3793.46,Books
550,142,2024-02-13,4975.09,Clothing
551,989,2024-08-16,7920.69,Clothing
552,595,2024-10-07,2012.7,Books
553,47,2024-01-08,4257.67,Grocery
554,629,2023-08-25,4141.66,Books
555,189,2024-10-16,3743.79,Electronics
556,737,2024-08-24,4439.8,Grocery
557,238,2023-12-12,2552.77,Electronics
558,237,2023-08-04,7902.88,Grocery
559,840,2024-12-25,5241.04,Electronics
560,34,2023-06-06,8490.32,Electronics
561,707,2023-09-07,4337.44,Clothing
562,320,2023-01-17,9006.44,Books
563,146,2024-08-16,4532.03,Grocery
564,954,2024-05-20,5325.2,Clothing
565,202,2024-10-22,3778.67,Grocery
566,279,2024-12-07,5017.53,Electronics
567,622,2024-07-26,8018.63,Books
568,264,2023-10-24,8469.12,Electronics
569,110,2024-02-19,2405.41,Electronics
570,417,2024-02-19,245.87,Electronics
571,759,2023-02-16,417.92,Grocery
572,930,2023-12-26,8733.1,Furniture
573,7,2023-02-23,4632.09,Furniture
574,764,2023-09-09,7720.83,Electronics
575,949,2023-07-10,2451.22,Electronics
576,243,2024-03-30,5797.61,Books
577,611,2023-03-20,6022.74,Electronics
578,734,2024-07-20,7572.12,Electronics
579,405,2023-06-16,2964.36,Electronics
580,604,2023-08-05,9712.87,Books
581,211,2024-02-05,3302.73,Grocery
582,486,2023-01-01,1303.76,Electronics
583,533,2023-04-22,3989.1,Furniture
584,933,2023-12-18,8970.73,Furniture
585,179,2023-10-31,7360.24,Grocery
586,925,2023-11-02,4267.49,Books
587,805,2023-04-04,8577.14,Furniture
588,235,2023-04-13,4011.11,Grocery
589,528,2023-04-19,6740.7,Grocery
590,826,2024-02-18,4316.79,Electronics
591,478,2023-04-20,3991.02,Furniture
592,156,2024-01-06,3100.42,Clothing
593,385,2023-06-23,6163.84,Grocery
594,794,2023-05-27,6754.31,Books
595,339,2023-02-05,2066.49,Clothing
596,543,2024-02-18,9118.35,Electronics
597,5,2023-08-14,2401.74,Books
598,584,2023-12-17,3478.7,Electronics
599,130,2023-08-17,5745.4,Electronics
600,588,2024-01-11,2982.62,Clothing
601,904,2024-02-26,9257.64,Books
602,145,2024-05-13,816.2,Grocery
603,547,2024-04-03,1380.36,Clothing
604,90,2023-05-09,2796.82,Books
605,148,2024-12-09,9497.86,Grocery
606,423,2024-02-07,444.5,Clothing
607,835,2023-12-16,5861.34,Electronics
608,799,2023-03-04,9395.55,Electronics
609,687,2023-11-15,5285.66,Electronics
610,22,2023-11-27,5838.77,Furniture
611,499,2024-04-01,5076.28,Books
612,65,2023-01-04,9301.97,Furniture
613,104,2024-07-23,7060.4,Furniture
614,11,2024-08-17,571.95,Electronics
615,944,2023-10-13,623.98,Grocery
616,328,2024-07-07,7241.46,Clothing
617,665,2024-10-23,2049.31,Furniture
618,509,2024-10-04,7617.83,Books
619,442,2024-10-14,2225.29,Books
620,850,2023-04-06,1948.1,Grocery
621,292,2024-06-28,5285.83,Grocery
622,63,2024-07-23,2246.78,Clothing
623,52,2024-08-06,1160.64,Electronics
624,932,2023-12-11,8932.06,Furniture
625,738,2023-04-13,1724.39,Electronics
626,246,2024-01-27,4358.21,Grocery
627,637,2024-02-15,8567.87,Electronics
628,682,2024-02-28,1138.75,Books
629,473,2023-12-09,1609.91,Grocery
630,232,2023-08-04,5584.42,Electronics
631,587,2024-03-05,8278.52,Grocery
632,37,2023-12-14,2399.21,Clothing
633,8,2023-11-05,8139.32,Furniture
634,931,2023-03-26,1613.11,Electronics
635,726,2023-12-02,487.7,Furniture
636,344,2023-03-28,9711.07,Clothing
637,643,2023-03-01,1936.54,Clothing
638,598,2024-01-06,133.5,Clothing
639,382,2023-12-10,3834.17,Grocery
640,868,2023-07-19,1475.23,Clothing
641,575,2023-11-20,4900.17,Furniture
642,270,2024-03-28,7884.93,Clothing
643,278,2024-01-04,6385.62,Grocery
644,649,2024-12-14,2212.47,Electronics
645,105,2023-09-06,176.63,Grocery
646,297,2024-12-02,7017.43,Furniture
647,298,2023-09-27,1203.49,Grocery
648,211,2024-10-15,3253.08,Clothing
649,843,2023-01-15,6883.14,Electronics
650,574,2024-11-17,2526.51,Clothing
651,37,2024-12-19,1248.51,Clothing
652,807,2023-12-06,6305.96,Furniture
653,470,2024-01-07,9625.68,Clothing
654,659,2023-12-04,8509.1,Clothing
655,603,2023-09-22,406.09,Books
656,586,2023-04-14,3944.33,Books
657,185,2024-10-01,7733.2,Books
658,589,2023-04-25,7891.06,Clothing
659,453,2024-10-19,9084.11,Furniture
660,889,2023-09-29,9514.93,Books
661,278,2023-08-31,7512.58,Electronics
662,419,2024-04-28,9651.38,Clothing
663,306,2024-02-27,6925.59,Electronics
664,462,2023-04-01,9759.34,Furniture
665,925,2023-02-16,8104.43,Electronics
666,690,2023-02-27,6648.22,Grocery
667,73,2024-09-23,9609.08,Furniture
668,374,2024-05-05,7244.23,Furniture
669,256,2024-01-11,6110.81,Furniture
670,554,2024-01-01,1061.85,Furniture
671,790,2023-04-11,4103.38,Books
672,131,2023-09-11,981.05,Clothing
673,469,2023-10-22,7007.11,Furniture
674,24,2023-02-02,9437.12,Electronics
675,558,2024-01-13,3001.22,Furniture
676,100,2023-08-17,6377.22,Grocery
677,407,2023-10-31,7382.32,Electronics
678,326,2023-10-20,3987.98,Clothing
679,158,2024-07-25,1726.21,Clothing
